Company name,Symbol,Currency,Market cap,P/E ratio,Return on assets (5 yr avg) (%),Return on assets (Recent yr) (%)
Gujarat Industries Power Company Limited,517300,₹,15.50B,7.08,6.14,6.99
Agro Tech Foods Ltd,500215,₹,15.26B,60.47,8.67,6.02
Insecticides India Ltd,532851,₹,15.26B,38.48,5.64,6
Tata Sponge Iron Ltd,513010,₹,15.24B,13.16,8.03,5.78
S Chand and Company Ltd,540497,₹,15.05B,22.09,6.11,5.63
Hawkins Cooker Ltd,508486,₹,14.94B,30.97,20.02,20.17
NRB Bearings Limited,530367,₹,14.93B,126.28,6.83,7.51
WIM Plast Ltd,526586,₹,14.40B,31.71,19.06,17.58
Honda Siel Power Products Limited,522064,₹,14.04B,23.24,8.75,11.34
Shemaroo Entertainment Ltd,538685,₹,13.81B,19.56,8.71,8.46
Genus Power Infrastructures Ltd.,530343,₹,13.80B,12.98,6.48,6.22
Hester Biosciences Ltd,524669,₹,13.77B,166.33,9.56,11.23
Weizmann Forex Ltd,533452,₹,13.73B,93.2,7.31,8.66
Sterling Tools Ltd,530759,₹,13.70B,47.59,10.09,15.44
Vardhman Holdings Limited,500439,₹,13.37B,4.43,19.02,21.64
MM Forgings Ltd,522241,₹,13.20B,24.5,9.03,8.08
Aarti Drugs Ltd.,524348,₹,13.08B,16.48,7.31,7.15
G M Breweries Ltd,507488,₹,12.87B,22.12,14.67,17.2
Technocraft Industries (India) Ltd,532804,₹,12.77B,48.6,9.73,9.4
Kalyani Steels Limited,500235,₹,12.59B,11.08,8.18,11.68
Srikalahasthi Pipes Ltd,513605,₹,12.48B,9.34,7.3,9.55
Sutlej Textiles And Industries Ltd,532782,₹,12.29B,8.99,8.88,8.49
Sasken Technologies Ltd,532663,₹,12.23B,14.01,17.59,13.03
HIL Ltd,509675,₹,12.21B,18.26,5.66,6.12
Nucleus Software Exports Ltd.,531209,₹,12.08B,20.19,10.3,10.62
Ashapura Intimates Fashion Ltd,535467,₹,11.95B,95.84,5.99,7.46
Kirloskar Industries Limited,500243,₹,11.89B,20.22,6.81,7.93
Empire Industries Limited,509525,₹,11.81B,24.42,8.31,6.28
UFO Moviez India Ltd,539141,₹,11.64B,20,7.19,6.82
Aptech Ltd,532475,₹,11.56B,41.09,6.99,6.83
Kirloskar Ferrous Industries Ltd.,500245,₹,11.52B,32.17,6.11,9.9
Lumax Auto Technologies Limited,532796,₹,11.40B,26.79,7.98,6.88
Waterbase Ltd,523660,₹,11.39B,40.16,7.59,5.12
Kirloskar Pneumatic Company Ltd,505283,₹,11.34B,60.08,7.47,9.8
SML Isuzu Ltd,505192,₹,11.29B,454.73,6.18,8.32
Oriental Carbon and Chemicals Ltd,506579,₹,11.25B,40.54,10.02,10.14
Monte Carlo Fashions Ltd,538836,₹,11.11B,18.18,8.86,6.01
Voltamp Transformers Limited,532757,₹,10.99B,14.49,8.06,12.29
Shanthi Gears Ltd.,522034,₹,10.97B,43.46,5.46,6.76
Gravita India Limited,533282,₹,10.93B,24.98,7.88,11.25
Marathon Nextgen Realty Ltd,503101,₹,10.77B,16,10.37,12.95
Mps Ltd,532440,₹,10.19B,14.44,26.12,20.52
Apcotex Industries Limited,523694,₹,10.19B,33.7,9,6.69
Foseco India Limited,500150,₹,10.06B,32.19,16.79,15.51
Jay Bharat Maruti Ltd,520066,₹,10.02B,16.25,5.52,7.39
IFGL Refractories Ltd,532133,₹,9.63B,27.06,8,5.91
Shakti Pumps (India) Ltd,531431,₹,9.63B,27.74,5.59,5.22
Sandur Manganese & Iron Ores Ltd.,504918,₹,9.60B,17.37,5.87,10.13
Intrasoft Technologies Ltd,533181,₹,9.59B,81.44,9.11,6.97
Shaily Engineering Plastics Ltd,501423,₹,9.55B,40.01,6.93,8
ZF Steering Gear (India) Ltd,505163,₹,9.47B,37.73,6.93,7.56
Atul Auto Ltd,531795,₹,9.42B,21.57,21.65,16.05
Rico Auto Industries Limited,520008,₹,9.29B,20.46,5.82,5.18
TTK Health Care Ltd,507747,₹,9.27B,36.68,6.75,6.84
Kridhan Infra Ltd,533482,₹,9.24B,15.02,12.64,24.2
Balmer Lawrie Investments Ltd.,532485,₹,9.06B,16.85,32.75,30.78
India Motor Parts Limited,590065,₹,9.06B,33.61,10.71,8.91
Mold Tek Packaging Ltd,533080,₹,8.86B,32.35,9.23,10.77
Vikas Ecotech Ltd,530961,₹,8.60B,29.23,6.94,8.69
Gufic BioSciences Ltd,509079,₹,8.44B,46.63,5.03,6.92
Talwalkars Better Value Fitness Ltd,533200,₹,8.28B,10.9,7.58,7
Sandesh Ltd,526725,₹,8.11B,11.06,10.77,10.44
Rane Brake Linings Ltd,532987,₹,7.85B,22.87,7.88,12.98
Ultramarine & Pigments Ltd.,506685,₹,7.82B,22.35,15.08,18.76
KSE Ltd,519421,₹,7.61B,12.58,15.35,11.47
Multibase India Ltd,526169,₹,7.54B,39.69,16.8,19.59
Nila Infrastructures Ltd,530377,₹,7.52B,50.36,5.1,5.92
Indian Terrain Fashions Ltd,533329,₹,7.50B,25.91,9.61,9.45
Automobile Corp Of Goa Ltd,505036,₹,7.45B,32.08,6.6,7.28
Ambika Cotton Mills Ltd,531978,₹,7.44B,12.61,10.43,12.37
Chaman Lal Setia Exports Ltd,530307,₹,7.38B,17.85,15.81,17.69
Astra Microwave Products Limited,532493,₹,7.34B,11.05,10.07,8.91
RPG Life Sciences Limited,532983,₹,7.08B,59.11,8.93,9.06
Nath Bio-Genes (I) Ltd,537291,₹,7.04B,27.99,8.79,5.86
Control Print Ltd,522295,₹,7.02B,44.87,15.11,14.79
Transpek Industry Ltd,506687,₹,6.91B,87.63,7.69,12.5
Shree Pushkar Chemicals & Fertilisrs Ltd,539334,₹,6.89B,19.33,10.02,12.53
Century Enka Limited,500280,₹,6.84B,8.96,5.01,8.52
Gloster Ltd,538595,₹,6.77B,17.87,5.24,9.96
Capital Trust Ltd,511505,₹,6.73B,69.76,9.12,8.85
Datamatics Global Services Ltd,532528,₹,6.68B,7.22,8.88,12.24
Byke Hospitality Ltd,531373,₹,6.64B,20.05,15.01,18.31
Fairfield Atlas Ltd.,520145,₹,6.58B,19.67,13.09,14.49
Nandan Denim Ltd,532641,₹,6.53B,10.62,5.71,5.01
Fineotex Chemical Ltd,533333,₹,6.47B,24.37,15.12,19.31
Pokarna Ltd,532486,₹,6.40B,10.75,7.12,14.17
SMS Pharmaceuticals Ltd,532815,₹,6.40B,18.13,6.16,7.14
Stovec Industries Ltd,504959,₹,6.26B,59.16,17.61,17.45
Ganesha Ecosphere Ltd,514167,₹,6.20B,18.25,6.59,6.97
Phoenix Lamps Ltd,517296,₹,6.16B,20.87,7.59,11.45
Cheviot Company Ltd.,526817,₹,6.01B,10.54,8.74,9.63
Gandhi Special Tubes Ltd,513108,₹,6.00B,17.68,11.98,15.85
Manali Petrochemicals Ltd,500268,₹,5.96B,13.6,9.8,7.34
Arfin India Ltd,539151,₹,5.70B,38.69,7.05,9.32
SORIL INFRA RESOURCES LTD,532679,₹,5.64B,17.78,10.74,5.09
TCPL Packaging Ltd,523301,₹,5.59B,25.56,6.71,5.97
Menon Bearings Ltd,523828,₹,5.53B,25.49,14.18,21.09
Stylam Industries Ltd,526951,₹,5.51B,29.76,6.39,7.22
Nitin Spinners Limited,532698,₹,5.47B,8.74,7.42,7.36
IST Ltd.,508807,₹,5.46B,14.35,15.77,15
Deep Industries Limited,532760,₹,5.44B,44.61,7.59,10.54
Ador Welding Ltd.,517041,₹,5.41B,32.01,5.74,5.17
Ifb Agro Industries Ltd,507438,₹,5.35B,18.37,10.63,8.44
SQS India BFSI Ltd,533121,₹,5.28B,19.81,17.4,13.56
Wendt India Ltd.,505412,₹,5.24B,48.14,9.37,8.34
Aksharchem (India) Ltd,524598,₹,5.12B,14.84,20.03,28.32
Plastiblend India Ltd.,523648,₹,5.12B,24.19,10.24,8.75
Allsec Technologies Ltd,532633,₹,5.00B,8.13,7.27,38.82
Associated Alcohol and Breweries Ltd,507526,₹,5.00B,19.93,6.26,10.18
Camphor and Allied Products Ltd,500078,₹,4.97B,22.44,7.58,7.58
Alphageo (India) Ltd,526397,₹,4.83B,7.55,14.52,19.97
Paul Merchants Ltd,539113,₹,4.81B,23.98,7.91,5.59
Bhageria Industries Ltd,530803,₹,4.80B,13.03,17.28,16.89
Paushak Ltd,532742,₹,4.66B,25.41,16.6,12.42
